Question,Generated_answer
"Suppose that three prime numbers $p, q,$ and $r$ satisfy the equations $pq + qr + rp = 191$ and $p + q = r - 1$. Find $p + q + r$.","

×"
"Let \( x \) and \( y \) be positive integers such that \( 2(x + y) = \gcd(x, y) + \text{lcm}(x, y) \). Find \( \frac{\text{lcm}(x, y)}{\gcd(x, y)} \).","

## Master advanced concepts through explanations,
examples, and problems from the community. 

## Learn from a vibrant community of students and enthusiasts,
including olympiad champions, researchers, and professionals. 
×
Problem Loading...
Note Loading...
Set Loading..."
What is the remainder when the product \(1 \times 3 \times 5 \times \cdots \times 2005\) is divided by 1000?,"
A. 0
B. 1
C. 2
D. 3
E. 4
A. 0
B. 1
C. 2
D. 3
E. 4
\(\frac{1\times 3\times 5\times ...\times 2005}{1000}=\frac{1\times 3\times 5\times ...\times 2005}{5^3\times 2^3}\)
\(\frac{1\times 3\times 5\times ...\times 2005}{5^3\times 2^3}=\frac{1\times 3\times 5\times ...\times 2005}{5^3}\times\frac{1}{2^3}=\frac{1\times 3\times 5\times ...\times 2005}{125}\times\frac{1}{8}\)
\(\frac{1\times 3\times 5\times ...\times 2005}{125}\) - the number of 250-s in the product is 8 (2005/250=8, the remainder is 5) --> \(\frac{1\times 3\times 5\times ...\times 2005}{125}=8*something\) --> \(\frac{1\times 3\times 5\times ...\times 2005}{125}*\frac{1}{8}=8*something*\frac{1}{8}=something\)
So, we have: \(something*\frac{1}{2^3}=\frac{something}{8}=integer\) --> something must be multiple of 8, thus the remainder is 0.
Answer: A.
New to the Math Forum?
Please read this: All You Need for Quant | PLEASE READ AND FOLLOW: 12 Rules for Posting!!!
Resources:
GMAT Math Book | Triangles | Polygons | Coordinate Geometry | Factorials | Circles | Number Theory | Remainders; 8. Overlapping Sets | PDF of Math Book; 10. Remainders | GMAT Prep Software Analysis | SEVEN SAMURAI OF 2012 (BEST DISCUSSIONS) | Tricky questions from previous years.
Collection of Questions:
PS: 1. Tough and Tricky questions; 2. Hard questions; 3. Hard questions part 2; 4. Standard deviation; 5. Tough Problem Solving Questions With Solutions; 6. Probability and Combinations Questions With Solutions; 7 Tough and tricky exponents and roots questions; 8 12 Easy Pieces (or not?); 9 Bakers' Dozen; 10 Algebra set. ,11 Mixed Questions, 12 Fresh Meat
DS: 1. DS tough questions; 2. DS tough questions part 2; 3. DS tough questions part 3; 4. DS Standard deviation; 5. Inequalities; 6. 700+ GMAT Data Sufficiency Questions With Explanations; 7 Tough and tricky exponents and roots questions; 8 The Discreet Charm of the DS; 9 Devil's Dozen!!!; 10 Number Properties set., 11 New DS set.
What are GMAT Club Tests?
Extra-hard Quant Tests with Brilliant Analytics
Manager
Joined: 11 Sep 2009
Posts: 129
Followers: 6
Re: Remainder [#permalink]

## Show Tags
 New post 13 Nov 2009, 21:15

## Show Tags
 New post 
1
This post was
BOOKMARKED
BOOKMARKED
I believe the answer is A: 0.
Basically, we are multiplying 501 odd numbers and dividing by 1000. All of those numbers are going to be factors of 1000, because:
1000 = \(2^3 * 5^3\)
So what we have here is (501 odd numbers * various multiples of 8 and 125) / (8 * 125). The 8 and the 125 will cancel out, leaving us with (501 odd numbers * various multiples of 8 and 125) / 8. All of those 501 numbers are odd, so they are not going to contribute any 2's (i.e. factors of 8) to the product. Therefore, the remainder must be 0.
Basically, we are multiplying 5"
A set of consecutive positive integers beginning with 1 is written on a blackboard. One number is erased. The average of the remaining numbers is $35\frac{7}{17}$. What number was erased?,"

A) 1
B) 2
C) 17
D) 35
E) 52

We have a set of consecutive positive integers beginning with 1. We start by writing down the sum of the first 17 positive integers:

$1 + 2 + 3 + 4 + \ldots + 16 + 17 = \frac{17 \cdot 18}{2} = 153$

We erase one of the numbers, and the remaining numbers have an average of $35\frac{7}{17}$. We can write this as:

$\frac{153 - x}{16} = 35\frac{7}{17}$

We solve this for x:

$153 - x = 16 \cdot 35\frac{7}{17} = 560$

$x = 153 - 560 = -407$

The answer is -407, but we are looking for a positive number. The only positive number in the set is 17, so the answer is C) 17.

DPatrick solution:

The sum of the first 17 positive integers is 153. If we erase one of them, the average of the remaining numbers must be 35 7/17 = 560/17.

So the sum of the 16 numbers must be 16*560/17 = 560.

But 560 = 153 + 407, and the only number in the set is 17. So we must have erased 407 and replaced it with 17.

So the answer is C.

Back to the top"
"A set \( S \) of points in the \( xy \)-plane is symmetric about the origin, both coordinate axes, and the line \( y = x \). If \( (2, 3) \) is in \( S \), what is the smallest number of points in \( S \)?","
(A) 3
(B) 4
(C) 6
(D) 8
(E) 9

## Solution
We can draw a picture of the points and their reflections.
Since there are 9 points, the answer is (E).

## See other problems like this one here.
No matter what your level, if you’re interested in learning more about SAT math, check out our SAT math course!"
"A positive integer is said to be *friendly* if it is composed of the digits in the set $\{1,2\}$ and the sum of its digits is equal to $12$. How many friendly positive integers are there?","

(A) 2 (B) 3 (C) 4 (D) 5 (E) 6

×"
"How many positive integers less than 10,000 have at most two different digits?","
A. 8100
B. 8111
C. 8112
D. 8120
E. 8169
A. 8100
B. 8111
C. 8112
D. 8120
E. 8169
The number of integers with at most 2 different digits is the sum of the following:
1. integers with 1 different digit - all 1 digit integers;
2. integers with 2 different digits - all 2 digit integers (which is obviously 90) plus all integers from 100 to 999, which will have 2 different digits (one in the tens digit and another in the units digit) and 1 digit more (thousands digit) will be the same as in the tens or units digit. Note that the integers from 100 to 109 still have only 1 different digit. Therefore for this range we'll have 90+90=180 integers with 2 different digits;
3. integers with 3 different digits - all integers from 1,000 to 9,999 and each will have 3 different digits. Basically we have 4 options for the thousands digit and as 0 cannot be the first digit we'll have 9 options per option for the thousands digit, which makes total of 9*4=36 integers with 3 different digits.
1+90+180+36=367.
Answer: D.
New to the Math Forum?
Please read this: All You Need for Quant | PLEASE READ AND FOLLOW: 12 Rules for Posting!!!
Resources:
GMAT Math Book | Triangles | Polygons | Coordinate Geometry | Factorials | Circles | Number Theory | Remainders; 8. Overlapping Sets | PDF of Math Book; 10. Remainders | GMAT Prep Software Analysis | SEVEN SAMURAI OF 2012 (BEST DISCUSSIONS) | Tricky questions from previous years.
Collection of Questions:
PS: 1. Tough and Tricky questions; 2. Hard questions; 3. Hard questions part 2; 4. Standard deviation; 5. Tough Problem Solving Questions With Solutions; 6. Probability and Combinations Questions With Solutions; 7 Tough and tricky exponents and roots questions; 8 12 Easy Pieces (or not?); 9 Bakers' Dozen; 10 Algebra set. ,11 Mixed Questions, 12 Fresh Meat
DS: 1. DS tough questions; 2. DS tough questions part 2; 3. DS tough questions part 3; 4. DS Standard deviation; 5. Inequalities; 6. 700+ GMAT Data Sufficiency Questions With Explanations; 7 Tough and tricky exponents and roots questions; 8 The Discreet Charm of the DS; 9 Devil's Dozen!!!; 10 Number Properties set., 11 New DS set.
What are GMAT Club Tests?
Extra-hard Quant Tests with Brilliant Analytics
Manager
 Manager  avatar 
Joined: 11 Jun 2010
Posts: 84
Followers: 0
Re: How many positive integers less than 10,000 have at most two [#permalink]

## Show Tags
 New post 13 Jul 2012, 01:18

## Show Tags
 New post 
Thanks Bunuel, very nice explanation!
|   1 KUDOS received 
Intern
 Intern  avatar 
Joined: 11 Jul 2012
Posts: 46
Followers: 0
Re: How many positive integers less than 10,000 have at most two [#permalink]

## Show Tags
 New post 20 Sep 2012, 05:37

## Show Tags
 New post 
1
This post received
KUDOS
KUDOS
Hi Bunuel
Could you please explain me what is wrong in this approach.
I am considering three digits(x,y,z) where xyz is a 3 digit number and xy is a 2 digit number, respectively
There are 9 ways to determine x (1-9)
There are 10 ways to determine y (0-9)
There are 10 ways to determine z (0-9)
So, total combination possible = 9*10*10 = 900
But what is wrong here?
Thanks in"
Determine the number of positive integers less than $2020$ that can be written as the sum of two powers of $3$.,"

I know that $2020=3^7+3^7$ and $2020=3^3+3^9$, but I don't know how to find the other ones.

• $2020$ is not a sum of powers of $3$. – Dietrich Burde Apr 23 '18 at 18:51
• @DietrichBurde, it is, but not in a way that is useful for this question. – Barry Cipra Apr 23 '18 at 18:53
• @BarryCipra I did not notice that. – Dietrich Burde Apr 23 '18 at 18:56
• @DietrichBurde, I did notice that, but I didn't know what to do with it. – Barry Cipra Apr 23 '18 at 18:57

I'm not sure if this is the most efficient method, but I'll try to give it a shot.

First, note that $2020$ is not a sum of powers of $3$. The largest power of $3$ that is less than $2020$ is $3^7 = 2187$.

Now, note that the smallest power of $3$ greater than $1$ is $3^1 = 3$. So, we have the following inequalities:

$$3^1 < 3^2 < 3^3 < \cdots < 3^7 < 2020$$

So, we can write $2020$ as a sum of powers of $3$ in the following ways:

\begin{align*} 2020 &= 3^7 + 3^1 \\ 2020 &= 3^7 + 3^2 \\ 2020 &= 3^7 + 3^3 \\ 2020 &= 3^7 + 3^4 \\ 2020 &= 3^7 + 3^5 \\ 2020 &= 3^7 + 3^6 \end{align*}

Therefore, the number of positive integers less than $2020$ that can be written as the sum of two powers of $3$ is $6$.

• I think the question was about numbers less than $2020$ that can be written as a sum of two powers of $3$... – Barry Cipra Apr 23 '18 at 18:52
• @BarryCipra: Good point. I'll edit my answer to reflect that. – N. F. Taussig Apr 23 '18 at 18:56

For the question, we need to find all pairs of positive integers $(a,b)$ such that $3^a+3^b<2020$.

Note that $3^a<2020$ for $a\le 7$ and $3^b<2020$ for $b\le 9$.

We can find all pairs of $(a,b)$ using the following code in PARI/GP.

for(a=1,7,for(b=1,9,if(3^a+3^b<2020,print(a,"","",b))))


The output is

1,1
1,2
1,3
1,4
1,5
1,6
1,7
2,1
2,2
2,3
2,4
2,5
2,6
2,7
3,1
3,2
3,3
3,4
3,5
3,6
3,7
4,1
4,2
4,3
4,4
4,5
4,6
4,7
5,1
5,2
5,3
5,4
5,5
5,6
5,7
6,1
6,2
6,3
6,4
6,5
6,6
6,7
7,1
7,2
7,3
7,4
7,5
7,6


Thus there are $35$ pairs of $(a,b)$ that satisfy the condition.

• I don't think that the code is valid, since it outputs 35 pairs, but 2020 = 3^7 + 3^7"
Find the limit \( \lim_{x \to 0}\frac{1- \cos{x}\cdot \sqrt{\cos{2x}}\cdot \sqrt[3]{\cos{3x}}}{1- \cos{x}\cdot \cos{\sqrt{2x}}\cdot \cos{\sqrt[3]{3x}}} \).,"
Solution:
\( \lim_{x \to 0}\frac{1- \cos{x}\cdot \sqrt{\cos{2x}}\cdot \sqrt[3]{\cos{3x}}}{1- \cos{x}\cdot \cos{\sqrt{2x}}\cdot \cos{\sqrt[3]{3x}}} = \lim_{x \to 0}\frac{2\sin^2\frac{x}{2}\cdot \sqrt{\cos{2x}}\cdot \sqrt[3]{\cos{3x}}}{2\sin^2\frac{x}{2}\cdot \cos{\sqrt{2x}}\cdot \cos{\sqrt[3]{3x}}} = \lim_{x \to 0}\frac{\sqrt{\cos{2x}}\cdot \sqrt[3]{\cos{3x}}}{\cos{\sqrt{2x}}\cdot \cos{\sqrt[3]{3x}}} = \frac{1}{1} = 1 \)"
"Find the value of \(a + b\) given that \(a\) and \(b\) are positive integers satisfying the equation:
\[
\log(1 + a^2) - \log a - 2 \log 2 = 1 - \log(100 + b^2) + \log b.
\]","
Details and assumptions
As an explicit example, if \(a = 14\) and \(b = 7\), then \(a + b = 21\).
Your answer seems reasonable. Find out if you're right!
Sign up to access problem solutions.
That seems reasonable. Find out if you're right!
Already have an account? Log in here.
×
Problem Loading...
Note Loading...
Set Loading..."
